creded,debitF,meanpay,billnum,debitM,zhongxingM,sidaM,xindaiR,cardnum,xindaiF,maxpay,zhuanzhangF,gongjiaoF,zhuanzhangR,age,gongjiaoR,sidaF,sidaR,zhongxingF,zhongxingR,xiaofeiF,jinkaF,zhuanzhangM,gongjiaoM,youxiM,xindaiS,black
0,107,301786,250,883264.26,11581,840040,270.25,10,1,203483.87,23,0,211,38,293.33,40,276.55,16,164.27,3,2,557218.08,2426.82,880.01,2797.56,1
0,97,2924,2,520954.67,33678,164336,54.65,10,6,130201.79,8,0,415.68,28,365,2,168.27,2,338,9,17,190248.68,1216.29,11.35,8744.77,0
0.01,8,522888,19,264594.86,935,373095,124.68,6,5,722146,13,0,228.6,39,301.27,7,179.25,0,365,1,10,991035.9,1348.73,13.15,234067.31,0
0.02,58,72831,44,93034.47,257377,97118,130.6,4,0,1120562.94,5,0,305.08,27,360.7,0,254.15,21,102.64,1,0,279395.88,25714.99,307.99,54,0
0.02,53,132203,17,11313.81,122569,119526,126.24,2,1,1789317.53,15,0,246.02,29,312.51,14,63.53,14,365,2,4,366264.32,263.27,69.26,229280.09,0
0.05,18,151678,130,633784.1,133771,299114,32.91,1,2,82691.04,64,2,115.88,26,365,2,22.78,1,109.7,7,8,243473.92,3034.16,48.4,160517.26,0
0,28,515045,145,434505.71,218457,636219,208.02,4,2,852590.46,71,0,90.85,35,365,2,280.81,24,87.46,7,3,791558,4082.02,1286.72,46456.59,1
0.04,3,566649,6,33716.43,164021,22152,365,1,9,1120.56,4,1,375.09,36,365,64,365,4,82.99,3,4,127403.84,2285.27,19.73,192966.54,1
0.01,9,1723,148,280135.06,21276,438939,226.96,6,10,1661013.78,4,2,149.12,34,329.68,3,131.93,1,330.39,9,1,44662.93,3760.05,438.96,78805.39,0
0.39,4,413430,14,670379.2,29679,348387,121.81,5,3,2808701.28,96,1,34.51,35,336.97,4,104.3,2,358.16,1,16,353274,1416.55,33.48,34350.72,0
0.01,40,360845,104,798231.53,48335,45083,365,3,6,2814050.01,15,2,292.83,19,365,26,50.18,1,304.79,9,21,6202.48,12548.18,8.61,104026.19,1
0.01,63,198919,14,258442.72,11978,182895,34.31,4,0,1578903.25,6,0,320.72,35,365,65,130.23,9,365,0,12,125644.96,5061.81,8.98,12443.13,1
0.04,81,558962,113,698.16,35351,11945,229.89,6,6,1341159.27,37,0,296.54,32,298.77,7,110.33,12,365,5,1,665069.38,1659.9,76.83,719.65,1
0.01,88,142492,101,5069.76,312494,77058,17.98,17,1,509407.45,31,0,344.64,34,365,8,278.01,0,11.95,3,0,443793.13,3378.85,165.32,170862.72,0
0.01,38,315330,65,17642.18,36651,48396,353.25,3,4,2299660.83,41,2,555.95,24,365,3,295.42,1,202.95,1,20,140182.5,25420.81,10.8,17330.14,0
0.03,68,14619,89,626229.81,59593,795518,38.12,3,5,2115682.3,2,0,472.78,28,365,1,12.99,4,337.58,0,1,51973.89,878.05,15.43,40518.54,0
0.01,40,538332,76,38745.69,379393,230003,205.06,8,0,3513314.38,68,0,368.9,31,365,37,28.61,0,365,0,12,86206.41,916.7,275.46,624.6,1
0.02,46,428150,72,370313.96,48276,21412,239.2,4,5,748079.09,33,0,158.66,27,341.2,1,248.92,0,185.9,1,10,423050.56,5185.81,40.41,169599.6,0
0,45,507911,129,208894.11,248623,225460,322.18,7,0,252140.68,3,1,348.04,31,364.12,4,5.73,14,103.59,1,8,74471.14,16911.53,39.29,117432.79,0
0,5,97761,0,416974.82,64544,422306,48.96,0,10,135063.47,38,2,45.82,29,365,34,39.65,17,365,0,1,245168.83,979.86,21.31,11715.16,0
0.02,8,201747,54,98982.59,342163,444001,207.39,8,6,969390.94,80,1,201.37,35,344.29,1,150.07,14,365,1,2,355746.11,1002.25,29.02,130966.81,1
0.02,113,35347,60,318338.28,178600,93089,187.21,5,5,166103.47,27,0,261.85,33,338.97,1,114.92,1,263.41,1,4,320136.94,255.97,31.33,42298.93,0
0.01,103,131742,2,138033.43,111690,37892,283.16,2,5,3510907.27,43,0,322.18,36,357.47,31,71.37,5,212.09,0,1,2444.98,8575.48,161.16,4982.82,1
0.07,80,8834,114,202103.44,60355,850598,157.16,9,5,1603321.7,4,0,40.75,32,365,58,285.71,11,365,4,1,253951.04,13826.01,19.96,126505.35,0
0.21,44,657879,70,180272.45,49458,178815,38.19,1,4,1354004.5,28,5,174.71,31,365,7,256.71,3,249.22,2,8,391518.46,17341.86,50.32,110672.87,0
0.43,67,252594,124,473503.4,10954,345963,279.3,2,6,1406117.9,4,0,34.63,28,365,17,213.07,27,365,6,1,59530.7,3876.62,395.48,16640.52,0
0.01,6,802747,157,207479.83,359179,426792,146.97,2,1,1032086.41,3,0,339.07,39,322.68,2,218.29,15,122.78,7,6,34504,6166.07,61.24,162418.7,0
0.42,5,687004,8,438813.15,4929,1043596,101.84,4,4,890348.93,2,0,289.54,33,365,50,176.88,1,108.08,8,0,454826.48,19422.57,3.91,192320.65,0
0.01,3,523039,42,414041.37,15735,18479,147.49,1,0,47343.78,1,1,65.98,28,313.18,72,310.99,0,259.68,1,0,58893.4,12145.75,720.46,5855.31,1
0.23,4,459698,177,239103.64,396626,381095,189.92,7,5,420441.07,35,0,188.2,34,323.29,42,167.18,1,365,4,15,681507.21,131.77,592.84,103115.99,0
0.61,69,34358,131,211417.68,219260,180073,82.28,8,5,640653.44,63,0,239.52,35,365,63,221.48,6,151.5,2,4,278317.91,22154.28,55.09,169763.21,0
0.09,10,172839,81,247705.49,148756,290730,160.1,11,3,777533.98,27,3,151.42,25,365,6,90.75,1,151.43,0,1,610450.12,7940.65,246.57,150912.35,1
0.03,96,307534,127,433851.7,11544,466981,89.26,1,1,308223.03,4,2,315.43,36,341.02,8,23.51,4,252.72,1,0,850778.97,810.72,240.71,96369.85,0
0.1,70,534347,230,302248.4,15397,62166,307.13,5,11,728311.18,4,0,107.44,25,295.51,1,32,0,365,5,11,551094.32,10610.94,59.63,5952.62,0
0.46,5,834780,125,126725.39,196633,333480,159.44,6,6,411071.47,2,2,0.42,33,355.77,21,51.2,1,240.09,0,1,693352.34,890.86,20.98,7818.09,0
0.02,18,141647,10,824923.51,292170,417570,365,15,3,2329936.67,2,2,82.16,32,365,1,202.75,2,315.74,3,3,533545.08,30391.19,652.02,153509.07,1
0.37,1,4625,109,399111.87,35343,123731,104.03,9,5,1020549.45,38,0,266.02,32,346.19,1,50.24,1,225.42,1,4,170148.87,482.12,11.42,156113.79,0
0.37,111,22858,13,474736.78,59535,56922,292.1,11,1,59425.78,3,1,200.96,34,365,1,38.21,13,94.78,0,0,273375.14,17958.02,191.51,66926.37,0
0.17,44,137516,22,95922.49,51245,96159,156.47,16,3,240334.58,4,1,85.23,34,365,5,70.3,1,365,1,0,126081.71,7663.66,23.01,175439.21,0
0.1,52,149435,103,242556.98,211190,409667,107.2,1,0,2715340.24,21,0,52.49,29,365,2,165.55,1,277.82,3,7,48970.09,14132.82,658,7599.96,0
0.01,26,733289,215,595797.2,14594,880283,70.61,2,6,159459.56,6,2,198.26,20,352.9,49,365,1,365,1,4,24542.7,13039.43,143.65,200984.31,0
0.03,57,350918,2,5402.1,42557,192831,113.45,7,3,2814362.21,50,0,146.7,29,348.63,8,215.7,3,77.66,0,8,156139.63,1038.71,736.08,197117.5,1
0.23,49,416433,61,19496.01,18092,451931,23.38,8,0,141733.24,54,1,117.78,26,358.84,87,31.81,0,195.58,1,6,731249.1,1457.26,35.24,13827.61,0
0.51,61,54653,6,480562.61,224615,591015,147.1,11,5,1019250,2,0,522.37,28,317.16,14,200.15,2,365,0,1,702988.75,451.14,2.56,70062.59,0
0.07,113,185164,317,60072.7,204819,106184,43.04,1,7,234862.32,39,2,315.26,32,365,3,254.33,4,226.53,0,14,427104.28,10360.32,12.19,83058.2,0
0.04,51,522322,13,828937.24,318941,320643,54.1,12,0,2155735.78,30,0,252.32,27,360.2,26,56.89,25,296.92,7,26,51118.75,41695.67,571.06,153952.96,1
0.03,1,139928,56,661636.23,511653,145563,30.28,4,8,1227206.21,15,1,158.13,32,314.88,45,213.94,26,282.53,3,1,4721.12,36088.09,416.13,257682.62,0
0.15,71,676341,245,262395.96,248396,530180,181.89,11,10,702524.78,4,2,5.82,27,365,1,48.35,0,157.28,4,4,248431.17,17557.32,12.97,3965.08,0
0.04,6,131360,36,39745.89,510664,602624,234.52,10,0,1624805.2,5,0,30.55,30,365,6,294.46,11,226.75,1,2,833896.86,1039.18,500.84,62808.14,0
0.06,2,303985,148,729026.81,376777,40773,231.79,7,7,831903.14,65,0,106.04,35,365,45,168.4,0,365,7,9,466574.88,783.03,1223.39,70010.5,1
0.07,113,137088,2,152188.66,205792,5944,326.98,3,10,829871.7,36,0,165.47,28,327.49,26,243.54,1,347.53,1,9,201199.46,1279.47,56,251277.63,0
0.01,37,155677,5,606938.81,106566,35429,355.43,1,5,2085291.05,73,3,115.47,31,351.44,90,92.58,1,267.33,2,1,15558.57,1718.78,157.13,74536.34,0
0.07,94,479769,160,304037.14,57334,483115,87.84,13,11,6470316.16,0,0,20.93,31,365,22,93.36,9,61.27,1,15,5071.57,759.54,14.11,263566.04,0
0.27,78,113004,121,238114.19,11836,640250,313.44,9,11,3262163.75,17,0,32.15,28,365,4,27.42,0,263.58,0,6,298902.69,1374.97,100.56,62107.49,0
0.24,0,137282,189,22825.12,420995,294005,179.38,1,1,2315233.06,2,0,181.42,37,283.61,4,365,4,250.96,0,19,202486.43,2551.9,0.17,104612.95,0
0.21,65,19094,206,60370.33,708340,175579,29.59,17,6,2838907.78,61,0,363.51,30,318.67,4,81,3,365,0,2,29228.54,19609.26,19.4,194400.32,0
0.02,4,22370,42,16336.84,44819,381422,66.64,9,7,2225621.26,8,0,245,25,317.65,35,29.52,2,166.61,0,0,109994.74,2375.53,27.43,14582.23,1
0.06,36,191091,265,36899.42,591,587489,162.98,2,3,2013092.65,13,0,29.16,29,355.81,14,206.4,7,308.64,0,1,105261.82,648.28,520.67,64778.17,0
0.01,14,638588,257,54113.11,371524,125834,84.44,5,3,2500542.37,5,0,389.87,29,300.65,8,245.18,21,154.85,4,2,759661.14,14619.16,24.28,133038.29,0
0.09,12,270311,138,344634.19,636619,359994,170.13,4,4,244549.81,18,0,162.31,31,313.76,18,150.04,4,258.75,0,1,659362.89,11279.9,73.74,110157.37,0
0.15,87,19884,22,211028.86,170719,128096,112.98,12,3,784203.65,69,2,301.11,32,323.48,32,128.1,2,365,4,9,7837.24,127.5,597.31,267619.17,0
0.44,43,676264,5,518080.48,342755,49428,161.9,8,4,899570.19,25,0,47.99,30,310.97,51,184.02,6,15.64,1,28,342721.97,4470.24,16.15,87050.14,0
0.3,4,567419,142,267789.68,118374,253709,217.55,7,7,1531770.02,5,1,44.9,30,355.9,2,365,11,316.5,8,1,141476.32,1752.41,19.86,61402.09,1
0,65,8719,7,200629.35,3032,10829,125.33,11,3,2140423.22,3,0,282.02,26,365,18,252.3,17,84.38,1,1,26422.1,471.78,659.29,88164.83,0
0.17,63,274394,344,7538.53,40038,64098,339.43,3,4,935926.19,61,0,266.88,32,329.89,1,273.75,19,189.15,4,3,527043.22,2016.13,17.07,165716.93,1
0.03,4,218649,14,29744.53,115988,547428,191.43,7,2,30810.94,101,0,315.88,27,365,3,105.01,16,238.98,6,1,520332.25,900.85,711.14,1588.95,0
0.28,47,74390,8,734177.88,112445,279887,148.29,13,5,2557773.65,2,0,49.14,36,365,66,203.19,2,365,2,1,343500.45,17354.22,171.89,137249.78,0
0.29,7,338702,61,213495.47,93868,12638,6.52,6,0,2774714.14,3,0,192.25,34,365,70,176.94,15,285.03,0,1,292424.47,11680.23,4.03,81541.03,0
0.52,79,73657,149,438076.98,248218,16952,183.85,1,14,1382528.38,0,0,400.99,37,333.05,8,219.92,1,181.45,3,3,226379.82,1322.09,1.93,300199.56,0
0.18,5,43915,99,648549.35,7780,371794,23.3,1,0,2069509.6,38,0,177.3,35,328.55,49,86.85,13,259.33,7,1,428462.12,5570.07,63.81,234818.54,0
0.01,2,712024,236,351324.97,502233,1593,25.27,7,3,144862.61,2,1,25.56,30,364.64,16,48.86,3,360.89,5,1,622276.06,14154.45,63.28,107948.2,0
0.11,7,140011,25,468124.45,272257,10169,271.64,3,4,910534.72,1,0,230.49,30,341.54,50,182.59,0,204.55,5,18,267482.39,19747.91,32.38,165573.05,1
0.02,24,3271,3,748539.83,180577,581727,277.51,0,6,999418.14,1,1,220.97,31,334,42,122.7,2,127.32,7,1,496940.82,32619.5,12.89,30894.82,0
0.02,22,338184,53,67401.38,68256,558175,225.46,9,12,828826.23,58,0,335.12,32,365,5,136.64,0,365,6,5,184502.04,4871.79,82.23,6918.36,1
0.13,145,21551,72,146018.14,19773,743091,102.77,11,0,908621.31,57,4,223.1,24,356.8,30,33.06,7,327.5,8,4,49199.6,33907.61,42.25,148981.87,0
0.01,2,133717,74,237815.93,17244,28814,212.17,14,7,2608339.09,1,3,228.5,24,351.75,1,215.21,14,74.26,1,0,35286.32,614.04,107.11,313151.3,1
0.13,18,273205,60,389086.75,446893,227373,0.45,0,2,196113.96,11,2,14.49,28,319.99,12,95.49,1,177.41,1,0,239331.61,14971.3,715.25,178579.52,0
0.17,0,896689,4,626235.89,42027,542460,278.99,6,12,99610.22,13,2,308.77,34,365,2,31.93,0,262.29,1,15,323025.82,519.55,48.1,106887.97,0
0.09,7,7323,16,243396.66,8756,18511,33.27,4,1,1499260.26,35,0,193.51,21,365,39,119.91,8,365,3,0,571012.11,1848.97,494.19,7380.88,1
0.06,91,18159,59,8057.03,15078,165864,84.75,1,0,1183011.85,48,1,301.13,28,365,79,294.35,2,213.22,0,3,344779.36,1835.64,564.89,10401.82,0
0.02,1,285148,75,97119.36,28387,23906,249.46,1,2,1413813.27,36,0,304.56,34,325.55,2,236.16,7,349.03,3,5,190569.7,7156.91,73.08,4313.38,1
0.02,2,151915,129,9623.97,6063,464049,365,1,0,1006089.45,10,0,138.56,29,336.91,13,197.38,7,336.53,1,17,413015.68,1477.59,254.42,159147.87,0
0.27,54,863701,169,264312.1,373745,28199,110.63,1,8,2202378,4,0,433.36,32,365,15,365,0,290.72,5,17,18977.83,632.36,744.92,72350.89,0
0.1,20,512264,60,486833.1,498672,10937,269.26,18,11,1132417.49,85,0,140.01,27,305.15,14,208.57,8,58.39,0,3,689907.23,447.72,9.82,5264,0
0.27,1,489793,346,137962.08,13092,199031,36.39,5,2,1740850.43,40,2,128.45,38,321.39,27,35.61,9,311.17,1,3,372565.79,8189.34,23.04,81185.1,0
0.02,30,504303,92,28482.21,630403,392719,39.37,6,1,2584927.64,11,0,364.92,31,365,15,250.77,1,164.37,1,1,135218.08,44.56,10.88,207876.03,0
0.13,28,402676,5,536922.53,495791,914365,153.45,7,3,1557635.78,21,2,153.23,23,336.43,49,124.67,1,254.92,3,14,23728.62,1733.33,4.32,262691.87,0
0.23,32,344119,9,495276.88,18086,89296,287.65,11,2,2119161.5,0,1,439.76,28,338.42,39,140.22,0,338.17,0,1,82555.09,647.44,72.46,83795.63,1
0.09,23,512010,13,234556.14,54761,753110,32.12,4,11,1912511.28,3,0,281.22,32,353.29,13,273.27,1,365,10,1,751751.41,4718.51,0.87,98485.27,0
0.06,4,317799,110,968142.65,155647,41927,27.57,7,0,192947.68,4,1,363.76,32,307.84,56,298.75,23,365,4,10,48229.42,2248.65,76.28,70569.92,0
0.03,42,361939,11,1052387.6,234386,581910,229,20,5,4097774.31,3,0,108.46,26,336.43,2,153.16,1,138.48,0,24,126935.78,715.79,733.61,29292.64,1
0.51,88,836695,113,23438.54,34842,531248,78.82,4,0,1697567.32,5,0,408.82,36,347.71,3,28,1,226.1,2,4,11799.55,3820.96,3.77,127999.68,0
0.25,23,11340,5,868271.03,878062,644167,142.69,5,0,6342.56,34,0,178.81,26,344.37,2,123.77,21,349.49,4,0,114772.46,870.89,4.51,14429.08,0
0.46,37,227875,8,35593.6,51906,139643,199.47,7,3,1285981.03,10,0,191.63,37,284.25,3,110.9,14,145.28,0,3,556006.4,23188.73,857.09,69965.69,0
0.12,28,15652,61,18648.12,2319,694668,7.14,11,6,2504826.67,0,1,194.4,30,365,89,121.28,13,365,0,4,36336.92,21211.45,7.12,166917.48,0
0.01,53,18546,91,397280.87,324599,68100,48.21,14,3,1284368.29,5,0,470.51,32,365,34,196.03,0,328.98,3,3,201593.55,21263.33,36.31,167355.2,0
0.01,11,73623,2,696197.53,158117,70804,365,6,3,3239984.98,38,0,209.02,29,365,45,39.55,8,22.89,1,1,231084.71,211.49,28.95,25689.38,1
0.04,6,325163,184,101941.19,1401,36769,126.31,10,1,3123624.77,2,2,436.02,35,365,37,159.84,17,134.63,0,0,836301.88,191.81,8.34,143932.97,1
0.15,63,680672,53,217037.67,87400,3227,172.96,13,4,756617.05,1,0,323.38,34,365,30,28.67,2,154.39,6,0,31426.71,18971.49,4.48,3343.8,0
0.3,45,369117,199,32311.08,265,858742,341.37,2,5,29118.81,25,0,22.94,24,365,11,168.35,22,216.1,0,31,105722.08,101.94,37.77,114850.31,0
0.15,75,127470,36,221940.02,67253,299316,23.71,14,0,3205566.13,20,3,102.82,28,339.49,58,138.19,2,200.07,0,11,76654.2,579.88,260.45,53265.4,0
0.01,60,533014,91,16362.22,188564,497021,307.63,1,7,54622.97,23,1,96.85,32,330.2,59,50.43,1,359,0,1,41595.47,8835.76,3.01,70069.25,0
0.23,2,239598,38,314981.47,153720,28522,141.83,7,0,1709385.1,42,1,409.76,34,358.58,37,46.52,1,132.61,0,4,876561.44,13020.01,42.38,341076.85,1
0.02,76,197411,118,921.8,5065,449613,111.24,8,0,1830738.48,24,0,331.08,30,318.29,86,339.09,1,154.92,12,8,18242.99,530.52,20.88,232576.57,1
0.03,1,265179,61,13809.99,25366,411554,202.74,12,10,3914069.94,2,1,157.17,26,365,48,130.21,5,138.14,0,0,519819.59,2852.88,439.66,22322,1
0.04,9,488686,54,26931,342070,75333,15.95,7,8,21792.64,30,0,309.34,30,365,6,171.09,0,348.69,2,12,10287.52,335.7,26.85,12528.68,0
0.02,112,85312,125,8880.99,149366,283409,27.76,5,6,614931.29,1,0,250.4,34,336.58,4,225.18,5,185.64,11,0,294304,12475.28,29.42,192195.3,0
0.28,25,618847,118,733969.62,69895,254363,24.32,3,13,2155388.98,1,0,164.51,32,344.91,5,29.74,2,365,3,20,63983.1,9814.57,17.92,105746.45,0
0,8,211413,2,5815.23,20964,140984,36.74,14,0,1302163.73,40,0,210.1,30,365,34,46.74,12,365,0,8,84363.96,2005.23,47.19,48776.01,1
0.03,4,10719,99,93375.61,156772,17580,107.39,11,8,794232.35,45,0,240.08,28,297.2,68,136.01,9,356.82,4,10,156180.48,2617.36,174.48,183755.62,1
0.38,8,521126,17,405929.65,9384,476906,80.68,2,7,1820172.96,18,3,393.07,31,308.52,71,58.15,4,276.35,0,1,30976.33,999.84,213.75,60017.83,1
0.23,1,694758,6,53698.38,20184,598887,291.02,13,3,1910892.21,1,2,76.81,28,350.78,40,169.75,2,335.71,6,2,276267.17,1215.83,737.68,16378.83,1
0.08,96,133944,1,700135.56,121077,138317,164.25,1,1,869624.9,61,0,369.82,35,365,41,41.25,1,365,1,1,528240.67,21676.39,30.04,114946.58,0
0.2,42,356234,20,291374.35,19160,619751,230.31,2,4,111013.2,1,0,517.44,40,314.75,15,242.9,8,365,0,0,9069.13,1847.47,16.19,87051.51,0
0.18,22,40923,5,297135.94,88959,436662,30.51,7,2,188923.52,4,2,274.12,24,365,86,309.09,13,365,0,8,297677.24,1414.9,724.92,1015.25,0
0.43,3,96033,128,187462.85,698098,142691,315.95,1,6,4759208.47,41,2,79.19,30,331.73,3,128.08,5,23.62,0,1,109333.81,7790.11,131.47,47897.46,1
0.16,2,497773,120,457922.06,265503,283305,293.44,7,1,1839616.58,2,0,180.76,18,354.41,19,102.25,0,246.03,0,1,372820.11,12696.21,584.78,176815.39,0
0.2,45,28447,8,1147092.16,279099,599337,221.42,3,5,215755.64,21,0,134.82,28,365,34,256.4,21,284.76,0,6,3137.56,8249.49,154.19,145068,0
0.17,1,960592,58,497785.56,37513,5806,183.48,6,0,1306767.99,6,4,317.55,23,358.58,1,193.51,12,171.63,1,0,483406.98,4527.24,658.48,16084.64,0
0.02,23,290937,135,95517.6,5817,7372,281.87,1,7,306667.82,0,0,170.64,27,365,1,156.7,1,365,10,2,666898.83,1151.57,14.02,119255.41,0
0.12,51,477528,4,769309.84,242724,36656,308.1,4,1,773.67,5,1,23.91,20,365,2,23.76,1,5.47,0,4,372281.94,2581.13,150.03,62996.76,0
0.43,63,27043,160,582376.29,22854,522631,131.22,1,10,934487.15,80,0,198.11,31,365,33,95.04,4,334.38,1,1,5631.02,9330.5,408.27,121490.52,0
0.01,20,22360,9,233241.82,69039,3701,353.11,7,0,681692.99,4,2,207.96,26,330.56,6,247.44,13,266.56,2,10,410053.13,1396.85,36.99,59086.83,0
0.12,3,94074,5,45743.81,357053,22775,23.16,8,8,2271395.21,41,1,395.88,37,365,25,246.53,11,237.98,1,7,21028.48,2557.21,24.2,127106.55,0
0.37,94,19666,15,50128.65,731,101046,305.03,11,0,2082804.15,27,0,234.69,36,365,62,152.51,1,233.06,0,1,51220.11,15.32,43.64,296009.26,1
0.05,55,271289,77,266230.42,212072,51691,295.24,7,8,1656391.48,11,1,223.56,31,346.96,111,170.33,0,365,3,2,467369.51,10752.11,263.24,58469.71,1
0.03,28,134107,101,418956.93,318769,78345,272.92,17,1,1231167.45,11,3,123.91,28,365,29,36.09,14,204.14,0,17,954357.87,365.02,24.47,139158.98,1
0.02,55,101856,30,447537.75,265864,400069,219.57,1,7,2737185.44,3,2,31.83,36,365,2,118.57,1,254.14,1,23,96975.18,457.61,55.43,87924.99,1
0.02,0,745721,55,277676.33,318382,106806,181.46,2,2,1403639.94,10,1,168.51,33,365,78,201.08,7,24.21,0,2,101325.8,8607.64,0.85,130397.76,0
0.03,51,165436,25,433672.21,11100,163007,38.66,18,3,554297.4,6,0,129.34,26,346.7,44,78.12,13,244.48,2,7,151622.54,15557.14,92.86,255411.48,1
0.05,4,572372,12,39967.47,177554,72891,190.69,9,5,3547555.48,1,0,76.84,24,365,20,102.46,4,106.55,5,0,35717.81,2665.59,100.86,232033.99,0
